concept_name,concept_table,MICU,SICU,gap,feature_new_name
AGRYLIN                                                                                                                                                                                                                                                        ,adm,0.0,0.000166819584619,0.000166819584619,AGRYLIN                                                                                                                                                                                                                                                        
ALBUMIN                                                                                                                                                                                                                                                        ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ALBUMIN                                                                                                                                                                                                                                                        
ALBUMIN (HUMAN)                                                                                                                                                                                                                                                ,adm,0.0001756543123132,0.000166819584619,8.83472769416929e-06,ALBUMIN (HUMAN)                                                                                                                                                                                                                                                
ALBUTEIN                                                                                                                                                                                                                                                       ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ALBUTEIN                                                                                                                                                                                                                                                       
ALBUTEROL                                                                                                                                                                                                                                                      ,adm,0.019087768604708,0.023771790808221,0.0046840222035129,ALBUTEROL                                                                                                                                                                                                                                                      
ALBUTEROL SULFATE                                                                                                                                                                                                                                              ,adm,0.0025762632472612,0.0031695721077628,0.0005933088605015,ALBUTEROL SULFATE                                                                                                                                                                                                                                              
ALBUTEROL SULFATE HFA                                                                                                                                                                                                                                          ,adm,0.0006440658118153,0.0008340979230954,0.0001900321112801,ALBUTEROL SULFATE HFA                                                                                                                                                                                                                                          
ALDACTAZIDE                                                                                                                                                                                                                                                    ,adm,5.855143743775481e-05,0.0002502293769286,0.0001916779394908,ALDACTAZIDE                                                                                                                                                                                                                                                    
ALDACTONE                                                                                                                                                                                                                                                      ,adm,0.0053867322442734,0.0040870798231678,0.0012996524211056,ALDACTONE                                                                                                                                                                                                                                                      
ALDOSTERONE                                                                                                                                                                                                                                                    ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ALDOSTERONE                                                                                                                                                                                                                                                    
ALENDRONATE SODIUM                                                                                                                                                                                                                                             ,adm,0.0006440658118153,0.00183501543081,0.0011909496189947,ALENDRONATE SODIUM                                                                                                                                                                                                                                             
ALEVE                                                                                                                                                                                                                                                          ,adm,0.0003513086246265,0.0023354741846673,0.0019841655600408,ALEVE                                                                                                                                                                                                                                                          
ALEVE-D SINUS & COLD                                                                                                                                                                                                                                           ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALEVE-D SINUS & COLD                                                                                                                                                                                                                                           
ALFUZOSIN HCL                                                                                                                                                                                                                                                  ,adm,0.0001756543123132,0.0003336391692381,0.0001579848569249,ALFUZOSIN HCL                                                                                                                                                                                                                                                  
ALIGN                                                                                                                                                                                                                                                          ,adm,5.855143743775481e-05,8.340979230954757e-05,2.4858354871792764e-05,ALIGN                                                                                                                                                                                                                                                          
ALIMTA                                                                                                                                                                                                                                                         ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALIMTA                                                                                                                                                                                                                                                         
ALISKIREN HEMIFUMARATE                                                                                                                                                                                                                                         ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ALISKIREN HEMIFUMARATE                                                                                                                                                                                                                                         
ALKA-SELTZER                                                                                                                                                                                                                                                   ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALKA-SELTZER                                                                                                                                                                                                                                                   
ALLEGRA                                                                                                                                                                                                                                                        ,adm,0.0009953744364418,0.0014179664692623,0.0004225920328204,ALLEGRA                                                                                                                                                                                                                                                        
ALLEGRA-D 12 HOUR                                                                                                                                                                                                                                              ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALLEGRA-D 12 HOUR                                                                                                                                                                                                                                              
ALLOPURINOL                                                                                                                                                                                                                                                    ,adm,0.0063235552432775,0.0120110100925748,0.0056874548492973,ALLOPURINOL                                                                                                                                                                                                                                                    
ALOE VESTA                                                                                                                                                                                                                                                     ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALOE VESTA                                                                                                                                                                                                                                                     
ALOGLIPTIN BENZOATE/METFORMIN HCL                                                                                                                                                                                                                              ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALOGLIPTIN BENZOATE/METFORMIN HCL                                                                                                                                                                                                                              
ALOXI                                                                                                                                                                                                                                                          ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALOXI                                                                                                                                                                                                                                                          
ALPHA LIPOIC ACID                                                                                                                                                                                                                                              ,adm,0.0001171028748755,8.340979230954757e-05,3.369308256596205e-05,ALPHA LIPOIC ACID                                                                                                                                                                                                                                              
ALPHAGAN P                                                                                                                                                                                                                                                     ,adm,0.000936822999004,0.0006672783384763,0.0002695446605276,ALPHAGAN P                                                                                                                                                                                                                                                     
ALPRAZOLAM                                                                                                                                                                                                                                                     ,adm,0.0026348146846989,0.0047543581616442,0.0021195434769452,ALPRAZOLAM                                                                                                                                                                                                                                                     
ALT (SGPT),lab,0.7291996018497985,0.6455083826835887,0.0836912191662098,ALT (SGPT)
ALTABAX                                                                                                                                                                                                                                                        ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05,ALTABAX                                                                                                                                                                                                                                                        
ALTACE                                                                                                                                                                                                                                                         ,adm,0.000702617249253,0.0007506881307859,4.807088153287035e-05,ALTACE                                                                                                                                                                                                                                                         
ALTALUBE                                                                                                                                                                                                                                                       ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05,ALTALUBE                                                                                                                                                                                                                                                       
